;/quest/generated/MeatballRain_2026/story_6/MeatballRain_2026_Story_6.proto.js;/quest/generated/MeatballRain_2026/story_6/MeatballRain_2026_Story_6.proto.js;Грибной рассольник;Это опять не я! Ну почти. Я всего лишь варила грибной рассольник на пробу, а он услышал слово 'побольше' и решил накормить всю округу сверху. Тащи всё, чем можно прижать крышку, пока не пошли грузди размером с табуретку.;Крышку прижали, грибочки угомонились, а небо перестало капать рассолом. Если котёл спросит, добавлять ли чесночку, делай вид, что ты тучка и тебя нет дома.;;MagazinePage_MeatballRain_2026_QuestIcon_1;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 1;Получить ASK;;;;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.0;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/MeatballRain_2026/story_6/MeatballRain_2026_Story_6.proto.js;/quest/generated/MeatballRain_2026/story_6/MeatballRain_2026_Story_6.proto.js;type;get_asset;;;;;;;;;;;;;;;;;;;;;;;
;;;classname;MeatballRain_2026_ASK_2;;;;;;;;;;;;;;;;;;;;;;;
;;;icon;MeatballRain_2026_ASK_2;;;;;;;;;;;;;;;;;;;;;;;
;;;amount;10;;;;;;;;;;;;;;;;;;;;;;;
;;;price;20;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Попроси у друзей Крышку для рассольной банки;;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Попроси у друзей или купи.;;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 2;GR с цветов в гостях;;;;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.1;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/MeatballRain_2026/story_6/MeatballRain_2026_Story_6.proto.js;/quest/generated/MeatballRain_2026/story_6/MeatballRain_2026_Story_6.proto.js;type;get_asset;;;;;;;;;;;;;;;;;;;;;;;
;;;classname;MeatballRain_2026_GR_4;;;;;;;;;;;;;;;;;;;;;;;
;;;icon;MeatballRain_2026_GR_4;;;;;;;;;;;;;;;;;;;;;;;
;;;amount;40;;;;;;;;;;;;;;;;;;;;;;;
;;;price;25;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Получи Картофельный штамп;;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Собирай цветы Картошечка в гостях, чтобы найти. Чтобы собрать растение, кликни на горшок с нужным растением в гостях у друга;;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 3;Крафт;;;;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.2;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/MeatballRain_2026/story_6/MeatballRain_2026_Story_6.proto.js;/quest/generated/MeatballRain_2026/story_6/MeatballRain_2026_Story_6.proto.js;type;get_and_decrease_asset;;;;;;;;;;;;;;;;;;;;;;;
;;;classname;MeatballRain_2026_R_2;;;;;;;;;;;;;;;;;;;;;;;
;;;icon;MeatballRain_2026_R_2;;;;;;;;;;;;;;;;;;;;;;;
;;;amount;1;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Создай Рассольный прижим;;;;;;;;;;;;;;;;;;;;;;;
;;;go_to_location;"[{""classname"":""MeatballRain_2026_Workbench_2""}]";;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Для создания используй крепкую крышку, картофельный штамп и ведьмину дощечку для банок.;;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
