;Квест группа;;;;;;Перечислить квесты текущей квест группы награды которых будут отображены на странице журнала.;Условие старта квеста на странице журанала;Текст на странице журанала после завршения квеста.;;;;;;;;;;;;;;;;;;
;;;action;clean_debris;;;;;;;;;;;;;;;;;;;;;;;
;;;param;CucumberFestival_2026_HOG_1;;;;;;;;;;;;;;;;;;;;;;;
;;;search_action;search_CucumberFestival_2026_HOG_1;;;;;;;;;;;;;;;;;;;;;;;
;;;after_buy_actions;"[{""do"":""remove_stuff"",""classname"":""CucumberFestival_2026_HOG_1""}]";;;;;;;;;;;;;;;;;;;;;;;
;;;amount;1;;;;;;;;;;;;;;;;;;;;;;;
;;;price;1;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Найди огуречный значок;;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Найди огуречный значок. Место поиска: Оранжерея. Если найти все не удаётся, можно купить подсказку.;;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 3;Уборка конкретного мусора в гостях;;;;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.2;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/CucumberFestival_2026/story_1/CucumberFestival_2026_Story_1.proto.js;/quest/generated/CucumberFestival_2026/story_1/CucumberFestival_2026_Story_1.proto.js;type;garbage;;;;;;;;;;;;;;;;;;;;;;;
;;;classname;Cucumber;;;;;;;;;;;;;;;;;;;;;;;
;;;in_guest;1;;;;;;;;;;;;;;;;;;;;;;;
;;;amount;1;;;;;;;;;;;;;;;;;;;;;;;
;;;price;1;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Убери мусор Надкусанный огурец в гостях;;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Убери мусор Надкусанный огурец в гостях. Для этого просто кликни на нужный мусор в гостях у друга. Место поиска: Оранжерея.;;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Квест 2;;;;;;;;;;;;;;;;;;;;;;;;;;
sl;string;string;string;string;string;string;string;;;;;;;;;;;;;;;;;;;;
;input;output;title;description;congratulation;helper;extra.sequence_icon;;;;;;;;;;;;;;;;;;;;
;/quest/generated/CucumberFestival_2026/story_2/CucumberFestival_2026_Story_2.proto.js;/quest/generated/CucumberFestival_2026/story_2/CucumberFestival_2026_Story_2.proto.js;Парад зелёного хруста;Друг мой домовёнок! Праздник без ритма - это просто собрание грустных тарелок! Мы сделаем парад зелёного хруста: ленты, барабаны, шаг налево, хруст направо! Правда, ленты почему-то уже обняли всё вокруг, а барабанщики маршируют каждый в свою сторону. Поможешь собрать праздник в один весёлый ритм?;Вот теперь другое дело! Ленты висят красиво, парад идёт ровно, а хруст звучит как музыка. Я видел, как Несмияна почти улыбнулась, а это, друг мой, победа громче любого барабана! Осталось только найти Главный Огурец, и праздник засияет совсем.;;MagazinePage_CucumberFestival_2026_QuestIcon_1;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 1;Получить ASK;;;;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.0;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/CucumberFestival_2026/story_2/CucumberFestival_2026_Story_2.proto.js;/quest/generated/CucumberFestival_2026/story_2/CucumberFestival_2026_Story_2.proto.js;type;get_asset;;;;;;;;;;;;;;;;;;;;;;;
;;;classname;CucumberFestival_2026_ASK_1;;;;;;;;;;;;;;;;;;;;;;;
;;;icon;CucumberFestival_2026_ASK_1;;;;;;;;;;;;;;;;;;;;;;;
;;;amount;1;;;;;;;;;;;;;;;;;;;;;;;
;;;price;1;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Попроси у друзей Барабанные палочки;;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Попроси у друзей или купи.;;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 2;GR с цветов в гостях;;;;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.1;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/CucumberFestival_2026/story_2/CucumberFestival_2026_Story_2.proto.js;/quest/generated/CucumberFestival_2026/story_2/CucumberFestival_2026_Story_2.proto.js;type;get_asset;;;;;;;;;;;;;;;;;;;;;;;
;;;classname;CucumberFestival_2026_GR_1;;;;;;;;;;;;;;;;;;;;;;;
;;;icon;CucumberFestival_2026_GR_1;;;;;;;;;;;;;;;;;;;;;;;
;;;amount;1;;;;;;;;;;;;;;;;;;;;;;;
;;;price;1;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Получи Парадную ленту;;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Собирай цветы Цветик-семицветик в гостях, чтобы найти. Чтобы собрать растение, кликни на горшок с нужным растением в гостях у друга;;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 3;Крафт;;;;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.2;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/CucumberFestival_2026/story_2/CucumberFestival_2026_Story_2.proto.js;/quest/generated/CucumberFestival_2026/story_2/CucumberFestival_2026_Story_2.proto.js;type;get_and_decrease_asset;;;;;;;;;;;;;;;;;;;;;;;
;;;classname;CucumberFestival_2026_R_1;;;;;;;;;;;;;;;;;;;;;;;
;;;icon;CucumberFestival_2026_R_1;;;;;;;;;;;;;;;;;;;;;;;
;;;amount;1;;;;;;;;;;;;;;;;;;;;;;;
;;;price;1;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Создай Парадный барабан;;;;;;;;;;;;;;;;;;;;;;;
;;;go_to_location;"[{""classname"":""CucumberFestival_2026_Workbench_1""}]";;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Для создания используй Станок.;;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Квест 3;;;;;;;;;;;;;;;;;;;;;;;;;;
sl;string;string;string;string;string;string;string;;;;;;;;;;;;;;;;;;;;
;input;output;title;description;congratulation;helper;extra.sequence_icon;;;;;;;;;;;;;;;;;;;;
;/quest/generated/CucumberFestival_2026/story_3/CucumberFestival_2026_Story_3.proto.js;/quest/generated/CucumberFestival_2026/story_3/CucumberFestival_2026_Story_3.proto.js;Дело о Главном Огурце;Мяу. Прошу сохранять спокойствие и не наступать на улики, даже если они похожи на обычные капли рассола. Перед нами дело исключительной важности: Главный Огурец исчез, бочка булькает с явным умыслом, а где-то за кулисами раздаётся подозрительный хруст. Домовёнок, ты назначаешься младшим помощником детектива. Начинаем расследование.;Дело закрыто. Главный Огурец возвращён, улики улеглись по местам, а подозрительный хруст получил официальное объяснение. Признаю: для существа без усов ты проявил редкую наблюдательность. Праздник спасён, пьедестал занят, а я заслужил минуту славы и тёплое место у бочки.;;MagazinePage_CucumberFestival_2026_QuestIcon_1;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 1;Загадка на мусор в гостях;;;;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.0;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/CucumberFestival_2026/story_3/CucumberFestival_2026_Story_3.proto.js;/quest/generated/CucumberFestival_2026/story_3/CucumberFestival_2026_Story_3.proto.js;type;garbage;;;;;;;;;;;;;;;;;;;;;;;
;;;classname;Garbage_WarmBlanket;;;;;;;;;;;;;;;;;;;;;;;
;;;in_guest;1;;;;;;;;;;;;;;;;;;;;;;;
;;;is_hide;1;;;;;;;;;;;;;;;;;;;;;;;
;;;amount;1;;;;;;;;;;;;;;;;;;;;;;;
;;;price;1;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Загадка, мусор в гостях;;;;;;;;;;;;;;;;;;;;;;;
;;;hint;На кресле тихо я лежу, узором мягко сторожу. Меня заметишь у друзей - и станет улика чуть ясней.;;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 2;Загадка на коллекцию (зависит от редкости);;;;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.1;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/CucumberFestival_2026/story_3/CucumberFestival_2026_Story_3.proto.js;/quest/generated/CucumberFestival_2026/story_3/CucumberFestival_2026_Story_3.proto.js;type;get_asset;;;;;;;;;;;;;;;;;;;;;;;
;;;classname;CucumberCollection1;;;;;;;;;;;;;;;;;;;;;;;
;;;icon;CucumberCollection1;;;;;;;;;;;;;;;;;;;;;;;
;;;is_hide;1;;;;;;;;;;;;;;;;;;;;;;;
;;;amount;1;;;;;;;;;;;;;;;;;;;;;;;
;;;price;1;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Загадка, предмет из коллекции;;;;;;;;;;;;;;;;;;;;;;;
;;;hint;В стекле молчу, но вкус храню, кислинкой праздник оживлю. Кто след зелёный разберёт, тот мой секрет в коллекции найдёт.;;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 3;Загадка на цветок в гостях;;;;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.2;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/CucumberFestival_2026/story_3/CucumberFestival_2026_Story_3.proto.js;/quest/generated/CucumberFestival_2026/story_3/CucumberFestival_2026_Story_3.proto.js;type;action;;;;;;;;;;;;;;;;;;;;;;;
;;;action;take_crop_in_guest;;;;;;;;;;;;;;;;;;;;;;;
;;;param;FlowerLaysPotato;;;;;;;;;;;;;;;;;;;;;;;
;;;is_hide;1;;;;;;;;;;;;;;;;;;;;;;;
;;;amount;1;;;;;;;;;;;;;;;;;;;;;;;
;;;price;1;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Загадка, цветы в гостях у друга;;;;;;;;;;;;;;;;;;;;;;;
;;;hint;В земле кругляш секретный спит, над ним зелёный куст стоит. Кто горшок у друга соберёт, тот хрусту след смешной найдёт.;;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
