;Квест группа;;;;;;Перечислить квесты текущей квест группы награды которых будут отображены на странице журнала.;Условие старта квеста на странице журанала;Текст на странице журанала после завршения квеста.;;;;;;;;;;;;;;;;;;
;Таск 2;Получить элемент коллекции (зависит от редкости);;;;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.1;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/StoneGnome_2026/story_1/StoneGnome_2026_Story_1.proto.js;/quest/generated/StoneGnome_2026/story_1/StoneGnome_2026_Story_1.proto.js;type;get_asset;;;;;;;;;;;;;;;;;;;;;;;
;;;classname;ApricotStoneCollection1;;;;;;;;;;;;;;;;;;;;;;;
;;;icon;ApricotStoneCollection1;;;;;;;;;;;;;;;;;;;;;;;
;;;amount;10;;;;;;;;;;;;;;;;;;;;;;;
;;;price;20;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Найди Абрикосовый пирог;;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Абрикосовый пирог - элемент коллекции, выпадает при уборке мусора Абрикосовая косточка дома и в гостях. Место поиска: Двор Чинга.;;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 3;GR с цветов в гостях;;;;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.2;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/StoneGnome_2026/story_1/StoneGnome_2026_Story_1.proto.js;/quest/generated/StoneGnome_2026/story_1/StoneGnome_2026_Story_1.proto.js;type;get_asset;;;;;;;;;;;;;;;;;;;;;;;
;;;classname;StoneGnome_2026_GR_1;;;;;;;;;;;;;;;;;;;;;;;
;;;icon;StoneGnome_2026_GR_1;;;;;;;;;;;;;;;;;;;;;;;
;;;amount;80;;;;;;;;;;;;;;;;;;;;;;;
;;;price;40;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Получи Подземный блёст;;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Собирай цветы Синяя роза в гостях, чтобы найти. Чтобы собрать растение, кликни на горшок с нужным растением в гостях у друга;;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Квест 2;;;;;;;;;;;;;;;;;;;;;;;;;;
sl;string;string;string;string;string;string;string;;;;;;;;;;;;;;;;;;;;
;input;output;title;description;congratulation;helper;extra.sequence_icon;;;;;;;;;;;;;;;;;;;;
;/quest/generated/StoneGnome_2026/story_2/StoneGnome_2026_Story_2.proto.js;/quest/generated/StoneGnome_2026/story_2/StoneGnome_2026_Story_2.proto.js;Печь дала трещину;Ой-ой-ой, дружок, беда невиданная! Печь моя, родимая, треснула, трещина идёт вот так — зигзагом, и стекло сыпется! Если сейчас не подкрепить и не заделать, все мои заготовки застыдутся и пойдут трещинами. Поможешь найти смесь для заделки и укрепления?;Фух, ты спаситель! Печь стоит, стекло не трескается. Теперь можно дальше работать. А то я уж думал, мой хрустальный шар так и останется мечтой...;StoneGnome_2026_Character_2;MagazinePage_StoneGnome_2026_QuestIcon_1;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 1;HOG на локации;;;;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.0;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/StoneGnome_2026/story_2/StoneGnome_2026_Story_2.proto.js;/quest/generated/StoneGnome_2026/story_2/StoneGnome_2026_Story_2.proto.js;type;action;;;;;;;;;;;;;;;;;;;;;;;
;;;action;clean_debris;;;;;;;;;;;;;;;;;;;;;;;
;;;param;StoneGnome_2026_HOG_1;;;;;;;;;;;;;;;;;;;;;;;
;;;search_action;search_StoneGnome_2026_HOG_1;;;;;;;;;;;;;;;;;;;;;;;
;;;after_buy_actions;"[{""do"":""remove_stuff"",""classname"":""StoneGnome_2026_HOG_1""}]";;;;;;;;;;;;;;;;;;;;;;;
;;;amount;20;;;;;;;;;;;;;;;;;;;;;;;
;;;price;20;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Найди Осколки треснувшей печи;;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Найди Осколки треснувшей печи. Место поиска: Барная комната. Если найти все не удаётся, можно купить подсказку.;;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 2;Уборка конкретного мусора дома;;;;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.1;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/StoneGnome_2026/story_2/StoneGnome_2026_Story_2.proto.js;/quest/generated/StoneGnome_2026/story_2/StoneGnome_2026_Story_2.proto.js;type;garbage;;;;;;;;;;;;;;;;;;;;;;;
;;;classname;StainedGlass;;;;;;;;;;;;;;;;;;;;;;;
;;;amount;20;;;;;;;;;;;;;;;;;;;;;;;
;;;price;40;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Убери мусор Цветное стекло дома;;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Убери мусор Цветное стекло дома. Для этого просто кликни на нужный мусор дома. Место поиска: Стеклодувня, Покои Метелицы.;;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 3;GR с цветов дома;;;;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.2;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/StoneGnome_2026/story_2/StoneGnome_2026_Story_2.proto.js;/quest/generated/StoneGnome_2026/story_2/StoneGnome_2026_Story_2.proto.js;type;get_asset;;;;;;;;;;;;;;;;;;;;;;;
;;;classname;StoneGnome_2026_GR_2;;;;;;;;;;;;;;;;;;;;;;;
;;;icon;StoneGnome_2026_GR_2;;;;;;;;;;;;;;;;;;;;;;;
;;;amount;40;;;;;;;;;;;;;;;;;;;;;;;
;;;price;30;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Получи Пламёк печи;;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Собирай цветы Гиппеаструм дома, чтобы найти. Чтобы собрать растение, кликни на горшок с нужным растением.;;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Квест 3;;;;;;;;;;;;;;;;;;;;;;;;;;
sl;string;string;string;string;string;string;string;;;;;;;;;;;;;;;;;;;;
;input;output;title;description;congratulation;helper;extra.sequence_icon;;;;;;;;;;;;;;;;;;;;
;/quest/generated/StoneGnome_2026/story_3/StoneGnome_2026_Story_3.proto.js;/quest/generated/StoneGnome_2026/story_3/StoneGnome_2026_Story_3.proto.js;Где мой рубинчик;Домовёнок, трагедия невыносимая! Мой любимый рубин — тот, что я три года огранивал — скатился в щель между камнями! Без него я как ювелир ничто, пустое место в бархатном поясе! Поможешь отыскать? А то я так и буду стоять над трещиной и ворчать.;Нашёлся, родимый! Ах, как блестит, как переливается! Теперь я снова могу творить шедевры. Спасибо, дружок, ты просто герой подземного мира!;StoneGnome_2026_Character_3;MagazinePage_StoneGnome_2026_QuestIcon_1;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 1;Силуэт мусора дома;;;;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.0;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/StoneGnome_2026/story_3/StoneGnome_2026_Story_3.proto.js;/quest/generated/StoneGnome_2026/story_3/StoneGnome_2026_Story_3.proto.js;type;garbage;;;;;;;;;;;;;;;;;;;;;;;
;;;classname;BigHome_Garbage_Bar_NeonStick;;;;;;;;;;;;;;;;;;;;;;;
;;;is_silhouette;1;;;;;;;;;;;;;;;;;;;;;;;
;;;amount;20;;;;;;;;;;;;;;;;;;;;;;;
;;;price;40;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Угадай загаданный мусор и убери его дома;;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Угадай загаданный мусор и убери его дома;;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 2;Силуэт цветка дома (зависит от времени роста);;;;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.1;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/StoneGnome_2026/story_3/StoneGnome_2026_Story_3.proto.js;/quest/generated/StoneGnome_2026/story_3/StoneGnome_2026_Story_3.proto.js;type;action;;;;;;;;;;;;;;;;;;;;;;;
;;;action;take_crop;;;;;;;;;;;;;;;;;;;;;;;
;;;param;FlowerPinkRose;;;;;;;;;;;;;;;;;;;;;;;
;;;is_silhouette;1;;;;;;;;;;;;;;;;;;;;;;;
;;;amount;30;;;;;;;;;;;;;;;;;;;;;;;
;;;price;20;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Угадай загаданный цветок и собери его дома;;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Угадай загаданный цветок и собери его дома;;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 3;GR с конкретного мусора дома;;;;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.2;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/StoneGnome_2026/story_3/StoneGnome_2026_Story_3.proto.js;/quest/generated/StoneGnome_2026/story_3/StoneGnome_2026_Story_3.proto.js;type;get_asset;;;;;;;;;;;;;;;;;;;;;;;
;;;classname;StoneGnome_2026_GR_3;;;;;;;;;;;;;;;;;;;;;;;
;;;icon;StoneGnome_2026_GR_3;;;;;;;;;;;;;;;;;;;;;;;
;;;amount;15;;;;;;;;;;;;;;;;;;;;;;;
;;;price;30;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Найди Щиток рубинового стража;;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Убирай мусор Панцирь улитки дома, чтобы найти. Место поиска: Озеро девичьих слез, Пещера.;;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Квест 4;;;;;;;;;;;;;;;;;;;;;;;;;;
sl;string;string;string;string;string;string;string;;;;;;;;;;;;;;;;;;;;
;input;output;title;description;congratulation;helper;extra.sequence_icon;;;;;;;;;;;;;;;;;;;;
;/quest/generated/StoneGnome_2026/story_4/StoneGnome_2026_Story_4.proto.js;/quest/generated/StoneGnome_2026/story_4/StoneGnome_2026_Story_4.proto.js;Борода в шестерёнки;Эх, домовёнок... Борода мешает, как всегда. Ремонтировал я подъёмник, а борода в шестерёнки попала — щёлк, и всё разлетелось. Теперь руда не поднимается, механизм стоит. Поможешь разобрать и собрать заново? Только аккуратно, тут темно и много деталей.;Вот так, теперь крутится, как надо. Борода пока отодвинута. Спасибо, дружок, без тебя бы я ещё долго сидел в темноте и ворчал.;StoneGnome_2026_Character_4;MagazinePage_StoneGnome_2026_QuestIcon_1;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 1;Крафт;;;;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.0;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/StoneGnome_2026/story_4/StoneGnome_2026_Story_4.proto.js;/quest/generated/StoneGnome_2026/story_4/StoneGnome_2026_Story_4.proto.js;type;get_and_decrease_asset;;;;;;;;;;;;;;;;;;;;;;;
;;;classname;StoneGnome_2026_R_1;;;;;;;;;;;;;;;;;;;;;;;
;;;icon;StoneGnome_2026_R_1;;;;;;;;;;;;;;;;;;;;;;;
;;;amount;1;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Создай Смазка для шестерёнок;;;;;;;;;;;;;;;;;;;;;;;
;;;go_to_location;"[{""classname"":""StoneGnome_2026_Workbench_1""}]";;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Для создания используй Станок.;;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 2;Получить ASK;;;;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.1;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/StoneGnome_2026/story_4/StoneGnome_2026_Story_4.proto.js;/quest/generated/StoneGnome_2026/story_4/StoneGnome_2026_Story_4.proto.js;type;get_asset;;;;;;;;;;;;;;;;;;;;;;;
;;;classname;StoneGnome_2026_ASK_1;;;;;;;;;;;;;;;;;;;;;;;
;;;icon;StoneGnome_2026_ASK_1;;;;;;;;;;;;;;;;;;;;;;;
;;;amount;10;;;;;;;;;;;;;;;;;;;;;;;
;;;price;20;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Попроси у друзей Трубочка стеклодува;;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Попроси у друзей или купи.;;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 3;GR с конкретного мусора в гостях;;;;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.2;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/StoneGnome_2026/story_4/StoneGnome_2026_Story_4.proto.js;/quest/generated/StoneGnome_2026/story_4/StoneGnome_2026_Story_4.proto.js;type;get_asset;;;;;;;;;;;;;;;;;;;;;;;
;;;classname;StoneGnome_2026_GR_4;;;;;;;;;;;;;;;;;;;;;;;
;;;icon;StoneGnome_2026_GR_4;;;;;;;;;;;;;;;;;;;;;;;
;;;amount;40;;;;;;;;;;;;;;;;;;;;;;;
;;;price;40;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Найди Мешочек с песком;;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Убирай мусор Мешки от удобрения в гостях, чтобы найти. Место поиска: Оранжерея, Курятник, Чародейная.;;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Квест 5;;;;;;;;;;;;;;;;;;;;;;;;;;
sl;string;string;string;string;string;string;string;;;;;;;;;;;;;;;;;;;;
;input;output;title;description;congratulation;helper;extra.sequence_icon;;;;;;;;;;;;;;;;;;;;
;/quest/generated/StoneGnome_2026/story_5/StoneGnome_2026_Story_5.proto.js;/quest/generated/StoneGnome_2026/story_5/StoneGnome_2026_Story_5.proto.js;Светящийся лабиринт;Домовёнок, тут такое чудо! Я нашла лабиринт, а в нём камни светятся — зелёным, голубым, розовым! Но тропинка завалена всяким хламом, и пройти нельзя. Поможешь расчистить? А потом самые красивые кристаллы соберём, они же такие блестящие...;Ура, проход свободен! И смотри, какие камни мы нашли — они переливаются, как радуга! Спасибо, дружок, теперь этот лабиринт моё любимое место.;StoneGnome_2026_Character_1;MagazinePage_StoneGnome_2026_QuestIcon_1;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 1;Загадка на мусор в гостях;;;;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.0;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/StoneGnome_2026/story_5/StoneGnome_2026_Story_5.proto.js;/quest/generated/StoneGnome_2026/story_5/StoneGnome_2026_Story_5.proto.js;type;garbage;;;;;;;;;;;;;;;;;;;;;;;
;;;classname;BittingPie;;;;;;;;;;;;;;;;;;;;;;;
;;;is_hide;1;;;;;;;;;;;;;;;;;;;;;;;
;;;amount;20;;;;;;;;;;;;;;;;;;;;;;;
;;;price;20;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Загадка, мусор в гостях;;;;;;;;;;;;;;;;;;;;;;;
;;;hint;На земле лежу, в гостях меня найдёшь, убери меня скорей, загадка моя простая, но вкусная.;;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;in_guest;1;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 2;Загадка на коллекцию (зависит от редкости);;;;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.1;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/StoneGnome_2026/story_5/StoneGnome_2026_Story_5.proto.js;/quest/generated/StoneGnome_2026/story_5/StoneGnome_2026_Story_5.proto.js;type;get_asset;;;;;;;;;;;;;;;;;;;;;;;
;;;classname;GarbageFireflyCollection3;;;;;;;;;;;;;;;;;;;;;;;
;;;icon;GarbageFireflyCollection3;;;;;;;;;;;;;;;;;;;;;;;
;;;is_hide;1;;;;;;;;;;;;;;;;;;;;;;;
;;;amount;10;;;;;;;;;;;;;;;;;;;;;;;
;;;price;30;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Загадка, предмет из коллекции;;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Светлюсь в темноте, летаю без крыльев, в банке меня найдёшь, уборщик мусора.;;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 3;Загадка на цветок в гостях;;;;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.2;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/StoneGnome_2026/story_5/StoneGnome_2026_Story_5.proto.js;/quest/generated/StoneGnome_2026/story_5/StoneGnome_2026_Story_5.proto.js;type;action;;;;;;;;;;;;;;;;;;;;;;;
;;;action;take_crop_in_guest;;;;;;;;;;;;;;;;;;;;;;;
;;;param;FlowerDahlia;;;;;;;;;;;;;;;;;;;;;;;
;;;is_hide;1;;;;;;;;;;;;;;;;;;;;;;;
;;;amount;60;;;;;;;;;;;;;;;;;;;;;;;
;;;price;25;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Загадка, цветы в гостях у друга;;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Как звезда, но не на небе, красна, но не рассвет, в горшке росту, а не в поле.;;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Квест 6;;;;;;;;;;;;;;;;;;;;;;;;;;
sl;string;string;string;string;string;string;string;;;;;;;;;;;;;;;;;;;;
;input;output;title;description;congratulation;helper;extra.sequence_icon;;;;;;;;;;;;;;;;;;;;
;/quest/generated/StoneGnome_2026/story_6/StoneGnome_2026_Story_6.proto.js;/quest/generated/StoneGnome_2026/story_6/StoneGnome_2026_Story_6.proto.js;Заблудился в бликах;Эх, домовёнок, я тут заблудился, как щенок в тумане! Зашёл в зал с этими вашими зеркальными камнями — и всё, ноги не слушаются, глаза разбегаются. Всё отражается, всё бликует, я даже себя в трёх экземплярах вижу. Поможешь вывести меня отсюда? А то я уже начал ворчать, что вот раньше кристаллы были понятнее...;Ах, свежий воздух, ну или хотя бы привычная темнота! Спасибо, дружок, вывел меня из этого зеркального кошмара. Теперь я знаю — к зеркальным кристаллам только с фонарём и картой.;StoneGnome_2026_Character_5;MagazinePage_StoneGnome_2026_QuestIcon_1;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 1;Диалог;;;РЕПЛИКА ДИАЛОГА: Эх, домовёнок, я тут заблудился, как щенок в тумане! Зашёл в зал с этими вашими зеркальными камнями — и всё, ноги не слушаются, глаза разбегаются.;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.0;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/StoneGnome_2026/story_6/StoneGnome_2026_Story_6.proto.js;/quest/generated/StoneGnome_2026/story_6/StoneGnome_2026_Story_6.proto.js;type;action;;;;;;;;;;;;;;;;;;;;;;;
;;;icon;StoneGnome_2026_Character_5;;;;;;;;;;;;;;;;;;;;;;;
;;;action;StoneGnome_2026_Character_5_Dialog_2;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Поговори с Дед Домовед;;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Поговори с Дед Домовед. Для этого просто кликни на него. Он находится в Мастерская.;;;;;;;;;;;;;;;;;;;;;;;
;;;go_to_location;"[{""classname"":""StoneGnome_2026_Character_5""}]";;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 2;Уборка конкретного мусора в гостях;;;;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.1;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/StoneGnome_2026/story_6/StoneGnome_2026_Story_6.proto.js;/quest/generated/StoneGnome_2026/story_6/StoneGnome_2026_Story_6.proto.js;type;garbage;;;;;;;;;;;;;;;;;;;;;;;
;;;classname;ClayLump;;;;;;;;;;;;;;;;;;;;;;;
;;;in_guest;1;;;;;;;;;;;;;;;;;;;;;;;
;;;amount;20;;;;;;;;;;;;;;;;;;;;;;;
;;;price;20;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Убери мусор Комок глины в гостях;;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Убери мусор Комок глины в гостях. Для этого просто кликни на нужный мусор в гостях у друга. Место поиска: Мастерская.;;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 3;GR с конкретного мусора в гостях;;;;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.2;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/StoneGnome_2026/story_6/StoneGnome_2026_Story_6.proto.js;/quest/generated/StoneGnome_2026/story_6/StoneGnome_2026_Story_6.proto.js;type;get_asset;;;;;;;;;;;;;;;;;;;;;;;
;;;classname;StoneGnome_2026_GR_5;;;;;;;;;;;;;;;;;;;;;;;
;;;icon;StoneGnome_2026_GR_5;;;;;;;;;;;;;;;;;;;;;;;
;;;amount;40;;;;;;;;;;;;;;;;;;;;;;;
