;Квест группа;;;;;;Перечислить квесты текущей квест группы награды которых будут отображены на странице журнала.;Условие старта квеста на странице журанала;Текст на странице журанала после завршения квеста.;;;;;;;;;;;;;;;;;;
;input;output;tasks.1;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/MeatballRain_2026/story_4/MeatballRain_2026_Story_4.proto.js;/quest/generated/MeatballRain_2026/story_4/MeatballRain_2026_Story_4.proto.js;type;action;;;;;;;;;;;;;;;;;;;;;;;
;;;action;clean_debris;;;;;;;;;;;;;;;;;;;;;;;
;;;param;MeatballRain_2026_HOG_2;;;;;;;;;;;;;;;;;;;;;;;
;;;search_action;search_MeatballRain_2026_HOG_2;;;;;;;;;;;;;;;;;;;;;;;
;;;after_buy_actions;"[{""do"":""remove_stuff"",""classname"":""MeatballRain_2026_HOG_2""}]";;;;;;;;;;;;;;;;;;;;;;;
;;;amount;15;;;;;;;;;;;;;;;;;;;;;;;
;;;price;20;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Найди следы облачного замка;;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Найди следы облачного замка. Место поиска: Темный лес. Если найти все не удаётся, можно купить подсказку.;;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 3;Уборка конкретного мусора в гостях;;;;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.2;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/MeatballRain_2026/story_4/MeatballRain_2026_Story_4.proto.js;/quest/generated/MeatballRain_2026/story_4/MeatballRain_2026_Story_4.proto.js;type;garbage;;;;;;;;;;;;;;;;;;;;;;;
;;;classname;PieceOfChain;;;;;;;;;;;;;;;;;;;;;;;
;;;in_guest;1;;;;;;;;;;;;;;;;;;;;;;;
;;;amount;20;;;;;;;;;;;;;;;;;;;;;;;
;;;price;20;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Убери мусор Кусочек цепи в гостях;;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Убери мусор Кусочек цепи в гостях. Для этого просто кликни на нужный мусор в гостях у друга. Место поиска: Озеро девичьих слез, Пещера, Темный лес, Трюм.;;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Квест 5;;;;;;;;;;;;;;;;;;;;;;;;;;
sl;string;string;string;string;string;string;string;;;;;;;;;;;;;;;;;;;;
;input;output;title;description;congratulation;helper;extra.sequence_icon;;;;;;;;;;;;;;;;;;;;
;/quest/generated/MeatballRain_2026/story_5/MeatballRain_2026_Story_5.proto.js;/quest/generated/MeatballRain_2026/story_5/MeatballRain_2026_Story_5.proto.js;Помидорная осада;Домовёнок, это не дождь, это осада! По моим владениям лупят помидорчики, будто великан наверху решил играть в красные снежки. Мне нужны улики: откуда катится эта овощная артиллерия и чем его можно убедить закрыть кладовую. А если придётся растить бобовый стебель к замку, я требую, чтобы он был величественный.;Улики собраны. Помидорчики летят с облачной стороны, и всё больше похоже, что великан просто не заметил, как его закуски обрушились вниз. Значит, придётся не кричать снизу, а добираться наверх. Бобовый стебель должен выдержать хотя бы меня, мою корону и моё возмущение.;;MagazinePage_MeatballRain_2026_QuestIcon_1;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 1;Загадка на коллекцию (зависит от редкости);;;;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.0;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/MeatballRain_2026/story_5/MeatballRain_2026_Story_5.proto.js;/quest/generated/MeatballRain_2026/story_5/MeatballRain_2026_Story_5.proto.js;type;get_asset;;;;;;;;;;;;;;;;;;;;;;;
;;;classname;CucumberCollection1;;;;;;;;;;;;;;;;;;;;;;;
;;;icon;CucumberCollection1;;;;;;;;;;;;;;;;;;;;;;;
;;;is_hide;1;;;;;;;;;;;;;;;;;;;;;;;
;;;amount;1;;;;;;;;;;;;;;;;;;;;;;;
;;;price;10;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Загадка, предмет из коллекции;;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Кислый след в стекле дрожит, зелёный хруст внутри хранит. Не суп, не сок, но вкусный ключ: закрой им банку от туч.;;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 2;Получить элемент коллекции (зависит от редкости);;;;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.1;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/MeatballRain_2026/story_5/MeatballRain_2026_Story_5.proto.js;/quest/generated/MeatballRain_2026/story_5/MeatballRain_2026_Story_5.proto.js;type;get_asset;;;;;;;;;;;;;;;;;;;;;;;
;;;classname;BigHome_Garbage_Overview_Silver_Collection2;;;;;;;;;;;;;;;;;;;;;;;
;;;icon;BigHome_Garbage_Overview_Silver_Collection2;;;;;;;;;;;;;;;;;;;;;;;
;;;amount;8;;;;;;;;;;;;;;;;;;;;;;;
;;;price;20;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Найди Поваренную соль;;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Поваренная соль - элемент коллекции, выпадает при уборке мусора Родированное серебро дома. Место поиска: Обзорная.;;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 3;GR с конкретного мусора в гостях;;;;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.2;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/MeatballRain_2026/story_5/MeatballRain_2026_Story_5.proto.js;/quest/generated/MeatballRain_2026/story_5/MeatballRain_2026_Story_5.proto.js;type;get_asset;;;;;;;;;;;;;;;;;;;;;;;
;;;classname;MeatballRain_2026_GR_3;;;;;;;;;;;;;;;;;;;;;;;
;;;icon;MeatballRain_2026_GR_3;;;;;;;;;;;;;;;;;;;;;;;
;;;amount;25;;;;;;;;;;;;;;;;;;;;;;;
;;;price;30;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Найди Бочковую пробку;;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Убирай мусор Разбитая бочка в гостях, чтобы найти. Место поиска: Трюм.;;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Квест 6;;;;;;;;;;;;;;;;;;;;;;;;;;
sl;string;string;string;string;string;string;string;;;;;;;;;;;;;;;;;;;;
;input;output;title;description;congratulation;helper;extra.sequence_icon;;;;;;;;;;;;;;;;;;;;
;/quest/generated/MeatballRain_2026/story_6/MeatballRain_2026_Story_6.proto.js;/quest/generated/MeatballRain_2026/story_6/MeatballRain_2026_Story_6.proto.js;Грибной рассольник;Это опять не я! Ну, почти. Я, может, и рассказывала одному великану, как правильно мариновать грибочки, но я же не велела ему сыпать их на всю округу. Если хотим прекратить этот рассольный снегопад, надо вырастить бобовый стебель до замка и подать знак наверх, пока он не перешёл к бочкам с капустой.;Вот теперь похоже на дело: мы знаем, где замок, чем пахнет беда и зачем нам бобовый стебель. Осталось подготовить всё для подъёма к облакам и объяснить великану, что закуски хороши на столе, а не на голове.;;MagazinePage_MeatballRain_2026_QuestIcon_1;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 1;Получить ASK;;;;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.0;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/MeatballRain_2026/story_6/MeatballRain_2026_Story_6.proto.js;/quest/generated/MeatballRain_2026/story_6/MeatballRain_2026_Story_6.proto.js;type;get_asset;;;;;;;;;;;;;;;;;;;;;;;
;;;classname;MeatballRain_2026_ASK_2;;;;;;;;;;;;;;;;;;;;;;;
;;;icon;MeatballRain_2026_ASK_2;;;;;;;;;;;;;;;;;;;;;;;
;;;amount;10;;;;;;;;;;;;;;;;;;;;;;;
;;;price;20;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Попроси у друзей Бобовый колышек;;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Попроси у друзей или купи.;;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 2;GR с цветов в гостях;;;;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.1;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/MeatballRain_2026/story_6/MeatballRain_2026_Story_6.proto.js;/quest/generated/MeatballRain_2026/story_6/MeatballRain_2026_Story_6.proto.js;type;get_asset;;;;;;;;;;;;;;;;;;;;;;;
;;;classname;MeatballRain_2026_GR_4;;;;;;;;;;;;;;;;;;;;;;;
;;;icon;MeatballRain_2026_GR_4;;;;;;;;;;;;;;;;;;;;;;;
;;;amount;40;;;;;;;;;;;;;;;;;;;;;;;
;;;price;25;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Найди Облепиховую завязку;;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Собирай цветы Облепиха в гостях, чтобы найти. Чтобы собрать растение, кликни на горшок с нужным растением в гостях у друга;;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 3;Крафт;;;;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.2;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/MeatballRain_2026/story_6/MeatballRain_2026_Story_6.proto.js;/quest/generated/MeatballRain_2026/story_6/MeatballRain_2026_Story_6.proto.js;type;get_and_decrease_asset;;;;;;;;;;;;;;;;;;;;;;;
;;;classname;MeatballRain_2026_R_2;;;;;;;;;;;;;;;;;;;;;;;
;;;icon;MeatballRain_2026_R_2;;;;;;;;;;;;;;;;;;;;;;;
;;;amount;1;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Создай Бобовый стяжной хомут;;;;;;;;;;;;;;;;;;;;;;;
;;;go_to_location;"[{""classname"":""MeatballRain_2026_Workbench_2""}]";;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Для создания используй бобовый колышек, облепиховую завязку и бочковую пробку.;;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
