;Квест группа;;;;;;Перечислить квесты текущей квест группы награды которых будут отображены на странице журнала.;Условие старта квеста на странице журанала;Текст на странице журанала после завршения квеста.;;;;;;;;;;;;;;;;;;
;/quest/generated/MusicBoxTown_2026/story_1/MusicBoxTown_2026_Story_1.proto.js;/quest/generated/MusicBoxTown_2026/story_1/MusicBoxTown_2026_Story_1.proto.js;type;action;;;;;;;;;;;;;;;;;;;;;;;
;;;action;clean_debris;;;;;;;;;;;;;;;;;;;;;;;
;;;param;MusicBoxTown_2026_HOG_1;;;;;;;;;;;;;;;;;;;;;;;
;;;search_action;search_MusicBoxTown_2026_HOG_1;;;;;;;;;;;;;;;;;;;;;;;
;;;after_buy_actions;"[{""do"":""remove_stuff"",""classname"":""MusicBoxTown_2026_HOG_1""}]";;;;;;;;;;;;;;;;;;;;;;;
;;;amount;20;;;;;;;;;;;;;;;;;;;;;;;
;;;price;20;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Найди заводной ключик;;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Найди заводной ключик. Место поиска: Мастерская. Если найти все не удаётся, можно купить подсказку.;;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 3;Уборка конкретного мусора дома;;;;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.2;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/MusicBoxTown_2026/story_1/MusicBoxTown_2026_Story_1.proto.js;/quest/generated/MusicBoxTown_2026/story_1/MusicBoxTown_2026_Story_1.proto.js;type;garbage;;;;;;;;;;;;;;;;;;;;;;;
;;;classname;Anvil;;;;;;;;;;;;;;;;;;;;;;;
;;;amount;20;;;;;;;;;;;;;;;;;;;;;;;
;;;price;40;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Убери мусор Наковаленка дома;;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Убери мусор Наковаленка дома. Для этого просто кликни на нужный мусор дома. Место поиска: Мастерская, Конюшня, Кузница.;;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Квест 2;;;;;;;;;;;;;;;;;;;;;;;;;;
sl;string;string;string;string;string;string;string;;;;;;;;;;;;;;;;;;;;
;input;output;title;description;congratulation;helper;extra.sequence_icon;;;;;;;;;;;;;;;;;;;;
;/quest/generated/MusicBoxTown_2026/story_2/MusicBoxTown_2026_Story_2.proto.js;/quest/generated/MusicBoxTown_2026/story_2/MusicBoxTown_2026_Story_2.proto.js;Пружинный переполох;Ой-фыр! Я хотела всё ускорить, честное пружинное слово! Только запасная пружина услышала слово «быстрее» и решила стать праздником сама по себе. Теперь винтики скачут, ленты улетели, а один маленький колокольчик, кажется, обиделся и укатился. Поможешь собрать детали, пока они не начали репетировать без нас?;Фыр-фыр, вот теперь порядок! Пружина больше не строит из себя карусель, винтики лежат кучкой, а ленты снова похожи на украшения, а не на медных змей. Спасибо! Я постараюсь больше ничего не ускорять... ну, хотя бы до следующей минуты.;;MagazinePage_MusicBoxTown_2026_QuestIcon_1;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 1;Крафт;;;;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.0;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/MusicBoxTown_2026/story_2/MusicBoxTown_2026_Story_2.proto.js;/quest/generated/MusicBoxTown_2026/story_2/MusicBoxTown_2026_Story_2.proto.js;type;get_and_decrease_asset;;;;;;;;;;;;;;;;;;;;;;;
;;;classname;MusicBoxTown_2026_R_1;;;;;;;;;;;;;;;;;;;;;;;
;;;icon;MusicBoxTown_2026_R_1;;;;;;;;;;;;;;;;;;;;;;;
;;;amount;1;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Создай Пружинный зажим;;;;;;;;;;;;;;;;;;;;;;;
;;;go_to_location;"[{""classname"":""MusicBoxTown_2026_Workbench_1""}]";;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Для создания используй Станок.;;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 2;Получить ASK;;;;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.1;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/MusicBoxTown_2026/story_2/MusicBoxTown_2026_Story_2.proto.js;/quest/generated/MusicBoxTown_2026/story_2/MusicBoxTown_2026_Story_2.proto.js;type;get_asset;;;;;;;;;;;;;;;;;;;;;;;
;;;classname;MusicBoxTown_2026_ASK_1;;;;;;;;;;;;;;;;;;;;;;;
;;;icon;MusicBoxTown_2026_ASK_1;;;;;;;;;;;;;;;;;;;;;;;
;;;amount;10;;;;;;;;;;;;;;;;;;;;;;;
;;;price;20;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Попроси у друзей Крепёжные колечки;;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Попроси у друзей или купи.;;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 3;GR с конкретного мусора в гостях;;;;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.2;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/MusicBoxTown_2026/story_2/MusicBoxTown_2026_Story_2.proto.js;/quest/generated/MusicBoxTown_2026/story_2/MusicBoxTown_2026_Story_2.proto.js;type;get_asset;;;;;;;;;;;;;;;;;;;;;;;
;;;classname;MusicBoxTown_2026_GR_1;;;;;;;;;;;;;;;;;;;;;;;
;;;icon;MusicBoxTown_2026_GR_1;;;;;;;;;;;;;;;;;;;;;;;
;;;amount;40;;;;;;;;;;;;;;;;;;;;;;;
;;;price;40;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Найди запорную кнопку зажима;;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Убирай мусор Пуговица в гостях, чтобы найти. Место поиска: Светлица.;;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Квест 3;;;;;;;;;;;;;;;;;;;;;;;;;;
sl;string;string;string;string;string;string;string;;;;;;;;;;;;;;;;;;;;
;input;output;title;description;congratulation;helper;extra.sequence_icon;;;;;;;;;;;;;;;;;;;;
;/quest/generated/MusicBoxTown_2026/story_3/MusicBoxTown_2026_Story_3.proto.js;/quest/generated/MusicBoxTown_2026/story_3/MusicBoxTown_2026_Story_3.proto.js;Большой перезвон;Внимание, маленькие помощники! Большой перезвон не терпит пыли, кривых молоточков и разговоров во время вступления. Нам нужны чистые колокольчики, ровные удары и ни одного самовольного бум-бум посреди мелодии. Помогите подготовить механизм, и городок снова зазвучит как следует.;Вот теперь я слышу музыку, а не кастрюльный спор с чайной ложкой! Перезвон выровнял ход табакерки, и жители могут праздновать. А это что на внутренней крышке? Крошечная схема пути... Хм, домой она вас пока не вернёт, но показывает, куда двигаться дальше. Значит, наше приключение только набирает такт.;;MagazinePage_MusicBoxTown_2026_QuestIcon_1;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 1;HOG на локации;;;;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.0;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/MusicBoxTown_2026/story_3/MusicBoxTown_2026_Story_3.proto.js;/quest/generated/MusicBoxTown_2026/story_3/MusicBoxTown_2026_Story_3.proto.js;type;action;;;;;;;;;;;;;;;;;;;;;;;
;;;action;clean_debris;;;;;;;;;;;;;;;;;;;;;;;
;;;param;MusicBoxTown_2026_HOG_2;;;;;;;;;;;;;;;;;;;;;;;
;;;search_action;search_MusicBoxTown_2026_HOG_2;;;;;;;;;;;;;;;;;;;;;;;
;;;after_buy_actions;"[{""do"":""remove_stuff"",""classname"":""MusicBoxTown_2026_HOG_2""}]";;;;;;;;;;;;;;;;;;;;;;;
;;;amount;20;;;;;;;;;;;;;;;;;;;;;;;
;;;price;20;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Найди медный язычок колокольчика;;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Найди медный язычок колокольчика. Место поиска: Комната за часами. Если найти все не удаётся, можно купить подсказку.;;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 2;GR с мусора в локации дома;;;;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.1;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/MusicBoxTown_2026/story_3/MusicBoxTown_2026_Story_3.proto.js;/quest/generated/MusicBoxTown_2026/story_3/MusicBoxTown_2026_Story_3.proto.js;type;get_asset;;;;;;;;;;;;;;;;;;;;;;;
;;;classname;MusicBoxTown_2026_GR_2;;;;;;;;;;;;;;;;;;;;;;;
;;;icon;MusicBoxTown_2026_GR_2;;;;;;;;;;;;;;;;;;;;;;;
;;;amount;30;;;;;;;;;;;;;;;;;;;;;;;
;;;price;40;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Найди латунную пластинку перезвона;;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Убирай мусор в локации Серверная комната, Комната за часами дома, чтобы найти.;;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 3;Получить элемент коллекции (зависит от редкости);;;;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.2;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/MusicBoxTown_2026/story_3/MusicBoxTown_2026_Story_3.proto.js;/quest/generated/MusicBoxTown_2026/story_3/MusicBoxTown_2026_Story_3.proto.js;type;get_asset;;;;;;;;;;;;;;;;;;;;;;;
;;;classname;ClocksCollection3;;;;;;;;;;;;;;;;;;;;;;;
;;;icon;ClocksCollection3;;;;;;;;;;;;;;;;;;;;;;;
;;;amount;10;;;;;;;;;;;;;;;;;;;;;;;
;;;price;20;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Найди Карманные часы;;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Карманные часы - элемент коллекции, выпадает при уборке мусора Сломанный будильник дома и в гостях. Место поиска: Лавка, Лаборатория, Опочивальня, Комната за часами.;;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
