;Квест группа;;;;;;Перечислить квесты текущей квест группы награды которых будут отображены на странице журнала.;Условие старта квеста на странице журанала;Текст на странице журанала после завршения квеста.;;;;;;;;;;;;;;;;;;
;;;hint;Поговори с Шапокляк. Для этого просто кликни на него. Он находится в Кухня.;;;;;;;;;;;;;;;;;;;;;;;
;;;go_to_location;"[{""classname"":""StoneGnome_2026_Character_6""}]";;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 2;Уборка конкретного мусора в гостях;;;;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.1;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/StoneGnome_2026/story_1/StoneGnome_2026_Story_13.proto.js;/quest/generated/StoneGnome_2026/story_1/StoneGnome_2026_Story_13.proto.js;type;garbage;;;;;;;;;;;;;;;;;;;;;;;
;;;classname;LeakyBucket;;;;;;;;;;;;;;;;;;;;;;;
;;;in_guest;1;;;;;;;;;;;;;;;;;;;;;;;
;;;amount;20;;;;;;;;;;;;;;;;;;;;;;;
;;;price;20;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Убери мусор Дырявое ведро в гостях;;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Убери мусор Дырявое ведро в гостях. Для этого просто кликни на нужный мусор в гостях у друга. Место поиска: Конюшня.;;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 3;Получить элемент коллекции (зависит от редкости);;;;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.2;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/StoneGnome_2026/story_1/StoneGnome_2026_Story_13.proto.js;/quest/generated/StoneGnome_2026/story_1/StoneGnome_2026_Story_13.proto.js;type;get_asset;;;;;;;;;;;;;;;;;;;;;;;
;;;classname;GarbageSpoonCollection1;;;;;;;;;;;;;;;;;;;;;;;
;;;icon;GarbageSpoonCollection1;;;;;;;;;;;;;;;;;;;;;;;
;;;amount;10;;;;;;;;;;;;;;;;;;;;;;;
;;;price;20;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Найди Луковый суп;;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Луковый суп - элемент коллекции, выпадает при уборке мусора Половник дома и в гостях. Место поиска: Кухня.;;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Квест 2;;;;;;;;;;;;;;;;;;;;;;;;;;
sl;string;string;string;string;string;string;string;;;;;;;;;;;;;;;;;;;;
;input;output;title;description;congratulation;helper;extra.sequence_icon;;;;;;;;;;;;;;;;;;;;
;/quest/generated/StoneGnome_2026/story_2/StoneGnome_2026_Story_14.proto.js;/quest/generated/StoneGnome_2026/story_2/StoneGnome_2026_Story_14.proto.js;Куда делся молоток?;Дружок, тут катастрофа невероятного масштаба! Мой рабочий молоток — тот, что я тридцать лет точил — пропал! Без него я как стеклодув без рук! Посмотри в мастерской, может, завалился под полку? Или в печь упал? Или кто-то... укатил?! Это невыносимо!;Что?! Борька укатил его в шахту?! На тачке?! Ну, конечно, а как иначе... Ладно, главное — нашёлся. Спасибо, дружок, теперь я снова могу творить! А Борьке я лично вылью целый чан обломков стекла.;StoneGnome_2026_Character_7;MagazinePage_StoneGnome_2026_QuestIcon_1;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 1;HOG на локации;;;;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.0;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/StoneGnome_2026/story_2/StoneGnome_2026_Story_14.proto.js;/quest/generated/StoneGnome_2026/story_2/StoneGnome_2026_Story_14.proto.js;type;action;;;;;;;;;;;;;;;;;;;;;;;
;;;action;clean_debris;;;;;;;;;;;;;;;;;;;;;;;
;;;param;StoneGnome_2026_HOG_4;;;;;;;;;;;;;;;;;;;;;;;
;;;search_action;search_StoneGnome_2026_HOG_4;;;;;;;;;;;;;;;;;;;;;;;
;;;after_buy_actions;"[{""do"":""remove_stuff"",""classname"":""StoneGnome_2026_HOG_4""}]";;;;;;;;;;;;;;;;;;;;;;;
;;;amount;20;;;;;;;;;;;;;;;;;;;;;;;
;;;price;20;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Найди Обломки и стружка в мастерской;;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Найди Обломки и стружка в мастерской. Место поиска: Двор Чинга. Если найти все не удаётся, можно купить подсказку.;;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 2;Уборка конкретного мусора дома;;;;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.1;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/StoneGnome_2026/story_2/StoneGnome_2026_Story_14.proto.js;/quest/generated/StoneGnome_2026/story_2/StoneGnome_2026_Story_14.proto.js;type;garbage;;;;;;;;;;;;;;;;;;;;;;;
;;;classname;ApricotStone;;;;;;;;;;;;;;;;;;;;;;;
;;;amount;20;;;;;;;;;;;;;;;;;;;;;;;
;;;price;40;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Убери мусор Абрикосовая косточка дома;;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Убери мусор Абрикосовая косточка дома. Для этого просто кликни на нужный мусор дома. Место поиска: Двор Чинга.;;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 3;GR с цветов дома;;;;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.2;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/StoneGnome_2026/story_2/StoneGnome_2026_Story_14.proto.js;/quest/generated/StoneGnome_2026/story_2/StoneGnome_2026_Story_14.proto.js;type;get_asset;;;;;;;;;;;;;;;;;;;;;;;
;;;classname;StoneGnome_2026_GR_9;;;;;;;;;;;;;;;;;;;;;;;
;;;icon;StoneGnome_2026_GR_9;;;;;;;;;;;;;;;;;;;;;;;
;;;amount;40;;;;;;;;;;;;;;;;;;;;;;;
;;;price;30;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Получи Рубиновая роза;;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Собирай цветы Роза дома, чтобы найти. Чтобы собрать растение, кликни на горшок с нужным растением.;;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Квест 3;;;;;;;;;;;;;;;;;;;;;;;;;;
sl;string;string;string;string;string;string;string;;;;;;;;;;;;;;;;;;;;
;input;output;title;description;congratulation;helper;extra.sequence_icon;;;;;;;;;;;;;;;;;;;;
;/quest/generated/StoneGnome_2026/story_3/StoneGnome_2026_Story_15.proto.js;/quest/generated/StoneGnome_2026/story_3/StoneGnome_2026_Story_15.proto.js;Почему гаснут фонари?;Домовёнок, тут дела страшные! Фонари гаснут один за другим, прямо на моих глазах! Это не просто так — это призраки старых шахт, я сто пудов уверен! Я такое видел в молодости... ну, или слышал... ну, точно читал где-то! Поможешь разобраться? А то мне уже и ворочаться страшно.;А, пыль и крошка забили кристаллы? Ну конечно! А я-то думал... Ха! Призраки! В моё время тоже пыль была настоящая, не вот эта ваша современная. Спасибо, дружок, теперь светло и можно спать спокойно. Хотя я, конечно, и рассчитывал на привидение...;StoneGnome_2026_Character_8;MagazinePage_StoneGnome_2026_QuestIcon_1;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 1;Диалог;;;РЕПЛИКА ДИАЛОГА: Эх, дружок, фонари гаснут один за другим! Я думал, это призраки старых шахт, а оказалось — никакие не призраки! Но без света мне и чихнуть страшно, не то что механизмы чинить!;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.0;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/StoneGnome_2026/story_3/StoneGnome_2026_Story_15.proto.js;/quest/generated/StoneGnome_2026/story_3/StoneGnome_2026_Story_15.proto.js;type;action;;;;;;;;;;;;;;;;;;;;;;;
;;;icon;StoneGnome_2026_Character_8;;;;;;;;;;;;;;;;;;;;;;;
;;;action;StoneGnome_2026_Character_8_Dialog_2;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Поговори с Дед Домовед;;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Поговори с Дед Домовед. Для этого просто кликни на него. Он находится в Серверная комната.;;;;;;;;;;;;;;;;;;;;;;;
;;;go_to_location;"[{""classname"":""StoneGnome_2026_Character_8""}]";;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 2;Уборка конкретного мусора в гостях;;;;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.1;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/StoneGnome_2026/story_3/StoneGnome_2026_Story_15.proto.js;/quest/generated/StoneGnome_2026/story_3/StoneGnome_2026_Story_15.proto.js;type;garbage;;;;;;;;;;;;;;;;;;;;;;;
;;;classname;Chips;;;;;;;;;;;;;;;;;;;;;;;
;;;in_guest;1;;;;;;;;;;;;;;;;;;;;;;;
;;;amount;20;;;;;;;;;;;;;;;;;;;;;;;
;;;price;20;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Убери мусор Стружка в гостях;;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Убери мусор Стружка в гостях. Для этого просто кликни на нужный мусор в гостях у друга. Место поиска: Мастерская, Гараж, Голубятня.;;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 3;GR с конкретного мусора дома;;;;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.2;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/StoneGnome_2026/story_3/StoneGnome_2026_Story_15.proto.js;/quest/generated/StoneGnome_2026/story_3/StoneGnome_2026_Story_15.proto.js;type;get_asset;;;;;;;;;;;;;;;;;;;;;;;
;;;classname;StoneGnome_2026_GR_10;;;;;;;;;;;;;;;;;;;;;;;
;;;icon;StoneGnome_2026_GR_10;;;;;;;;;;;;;;;;;;;;;;;
;;;amount;15;;;;;;;;;;;;;;;;;;;;;;;
;;;price;30;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Найди Очищающая кристаллическая крошка;;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Убирай мусор Пепел дома, чтобы найти. Место поиска: Котельная.;;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Квест 4;;;;;;;;;;;;;;;;;;;;;;;;;;
sl;string;string;string;string;string;string;string;;;;;;;;;;;;;;;;;;;;
;input;output;title;description;congratulation;helper;extra.sequence_icon;;;;;;;;;;;;;;;;;;;;
;/quest/generated/StoneGnome_2026/story_4/StoneGnome_2026_Story_16.proto.js;/quest/generated/StoneGnome_2026/story_4/StoneGnome_2026_Story_16.proto.js;Перепутанные драгоценности;Домовёнок, ТРАГЕДИЯ невиданных масштабов! Моя шкатулка — моя жизнь, моя гордость! — разворочена! Рубины с сапфирами! Изумруды без изумрудов! А янтаря вообще нет! Это подстава! Это заговор! Поможешь найти пропажу? Мне нужно всё вернуть на места, а то я просто не могу дышать в этом хаосе!;Дед Домовед?! Он пытался «помочь»?! И янтарь в его кармане?! Боже мой, ну конечно! Старик всегда всё теряет, но чтобы прямо в кармане... Ладно, главное — камни на месте. Спасибо, дружок, теперь я опять могу спокойно любоваться своими сокровищами. А Деду я подарю специальный ящик — «не трогать».;StoneGnome_2026_Character_9;MagazinePage_StoneGnome_2026_QuestIcon_1;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 1;Сбор цветов дома (зависит от времени роста);;;;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.0;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/StoneGnome_2026/story_4/StoneGnome_2026_Story_16.proto.js;/quest/generated/StoneGnome_2026/story_4/StoneGnome_2026_Story_16.proto.js;type;action;;;;;;;;;;;;;;;;;;;;;;;
;;;action;take_crop;;;;;;;;;;;;;;;;;;;;;;;
;;;param;FlowerPeony;;;;;;;;;;;;;;;;;;;;;;;
;;;amount;30;;;;;;;;;;;;;;;;;;;;;;;
;;;price;20;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Собери Пион дома;;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Собирай Пион дома. Чтобы собрать растение, кликни на горшок с нужным растением;;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 2;Получить элемент коллекции (зависит от редкости);;;;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.1;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/StoneGnome_2026/story_4/StoneGnome_2026_Story_16.proto.js;/quest/generated/StoneGnome_2026/story_4/StoneGnome_2026_Story_16.proto.js;type;get_asset;;;;;;;;;;;;;;;;;;;;;;;
;;;classname;PickCollection2;;;;;;;;;;;;;;;;;;;;;;;
;;;icon;PickCollection2;;;;;;;;;;;;;;;;;;;;;;;
;;;amount;10;;;;;;;;;;;;;;;;;;;;;;;
;;;price;20;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Найди Янтарь;;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Янтарь - элемент коллекции, выпадает при уборке мусора Кирка дома и в гостях. Место поиска: Сокровищница, Пещера.;;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 3;GR с конкретного мусора дома;;;;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.2;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/StoneGnome_2026/story_4/StoneGnome_2026_Story_16.proto.js;/quest/generated/StoneGnome_2026/story_4/StoneGnome_2026_Story_16.proto.js;type;get_asset;;;;;;;;;;;;;;;;;;;;;;;
;;;classname;StoneGnome_2026_GR_11;;;;;;;;;;;;;;;;;;;;;;;
;;;icon;StoneGnome_2026_GR_11;;;;;;;;;;;;;;;;;;;;;;;
;;;amount;15;;;;;;;;;;;;;;;;;;;;;;;
;;;price;30;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Найди Серебряная оправа;;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Убирай мусор Родированное серебро дома, чтобы найти. Место поиска: Обзорная.;;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Квест 5;;;;;;;;;;;;;;;;;;;;;;;;;;
sl;string;string;string;string;string;string;string;;;;;;;;;;;;;;;;;;;;
;input;output;title;description;congratulation;helper;extra.sequence_icon;;;;;;;;;;;;;;;;;;;;
;/quest/generated/StoneGnome_2026/story_5/StoneGnome_2026_Story_17.proto.js;/quest/generated/StoneGnome_2026/story_5/StoneGnome_2026_Story_17.proto.js;Механизм встал — дело раскрыто;Домовёнок, СТОП все работы! Главный механизм встал. Сундук не открывается, фонари не горят, печь не жарит. Всё потому что мелкие беды из прошлого никто не чинил — суп на рычаге, янтарь в шестерёнке, пыль в кристаллах. Нужно всё собрать, разобрать и починить. Не то городу конец. Поможешь? Тут без друга не справлюсь, борода мешает в механизмах лезть.;Вот так! Механизм работает, горы руды идут, фонари горят, рубины блестят! Я знал, что вместе мы справимся. Спасибо тебе, дружок, ты настоящий друг подземелья! А вообще... может, ты ещё задержишься? У нас тут ещё одна пещера завалилась...;StoneGnome_2026_Character_10;MagazinePage_StoneGnome_2026_QuestIcon_1;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 1;Крафт;;;;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.0;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/StoneGnome_2026/story_5/StoneGnome_2026_Story_17.proto.js;/quest/generated/StoneGnome_2026/story_5/StoneGnome_2026_Story_17.proto.js;type;get_and_decrease_asset;;;;;;;;;;;;;;;;;;;;;;;
;;;classname;StoneGnome_2026_R_3;;;;;;;;;;;;;;;;;;;;;;;
;;;icon;StoneGnome_2026_R_3;;;;;;;;;;;;;;;;;;;;;;;
;;;amount;1;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Создай Кристаллическая смазка для шестерёнок;;;;;;;;;;;;;;;;;;;;;;;
;;;go_to_location;"[{""classname"":""StoneGnome_2026_Workbench_1""}]";;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Для создания используй Станок.;;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 2;Получить ASK;;;;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.1;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/StoneGnome_2026/story_5/StoneGnome_2026_Story_17.proto.js;/quest/generated/StoneGnome_2026/story_5/StoneGnome_2026_Story_17.proto.js;type;get_asset;;;;;;;;;;;;;;;;;;;;;;;
;;;classname;StoneGnome_2026_ASK_2;;;;;;;;;;;;;;;;;;;;;;;
;;;icon;StoneGnome_2026_ASK_2;;;;;;;;;;;;;;;;;;;;;;;
;;;amount;10;;;;;;;;;;;;;;;;;;;;;;;
;;;price;20;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Попроси у друзей Шестерёнка из дымчатого кварца;;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Попроси у друзей или купи.;;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 3;GR с конкретного мусора в гостях;;;;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.2;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/StoneGnome_2026/story_5/StoneGnome_2026_Story_17.proto.js;/quest/generated/StoneGnome_2026/story_5/StoneGnome_2026_Story_17.proto.js;type;get_asset;;;;;;;;;;;;;;;;;;;;;;;
;;;classname;StoneGnome_2026_GR_12;;;;;;;;;;;;;;;;;;;;;;;
;;;icon;StoneGnome_2026_GR_12;;;;;;;;;;;;;;;;;;;;;;;
;;;amount;40;;;;;;;;;;;;;;;;;;;;;;;
;;;price;40;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Найди Смывка для рычагов;;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Убирай мусор Половник в гостях, чтобы найти. Место поиска: Кухня.;;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
